Date,Link,OptionText
2022-10-15 07:06:22,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-6986251844121464832,Both 1 & 2
2022-10-14 21:09:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:6986359720991154176,Snowflake 
2022-10-08 22:41:40,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6984545640043155456,SQL
2022-09-25 08:04:30,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6979316143811436544,Google Analytics
2022-09-25 08:04:18,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6979395096660099072,Seaborn
2022-09-24 20:22:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:6978218743436890112,Yes
2022-09-24 20:20:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:6978963805892407296,Comfort
2022-09-19 07:16:13,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6976954911066345472,Yes I do✅
2022-09-18 11:04:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:6975675659297718272,Work From Office 😎
2022-09-13 12:55:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:6975336934185336832,Finland
2022-09-11 15:11:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:6974598978495557632,Less than 5 LPA 🧐
2022-09-11 08:03:05,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6974427959814193152,Python 
2022-09-10 06:35:51,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6973520944732495872,⭕️ No Not that Much
2022-09-08 17:39:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:6973672322771673091,Never
2022-09-08 06:25:34,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6973204290379128832,Data science ✅
2022-09-03 04:16:22,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6971330328850280448,Sir Isaac Newton
2022-08-30 19:01:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6969980385946464256,20 - 40k per month 
2022-08-29 05:32:44,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6969369363481059328,Median absolute deviation
2022-08-25 11:30:48,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6968435281418940416,⭕️Distance
2022-08-25 04:50:07,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6968055706239340544,Trigonometry
2022-08-23 18:58:50,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6967400579987832832,Tableau Mobile 
2022-08-22 14:20:15,https://www.linkedin.com/feed/update/urn:li:ugcPost:6967336075233034240,40-50 LPA 😉 
2022-08-22 13:28:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6967466351745462272,Python
2022-08-21 16:47:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:6966962965468102656,Python
2022-08-19 08:33:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:6966027844682432512,Stack
2022-08-15 18:01:45,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6964903366938251264,Head
2022-08-15 16:46:37,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6964903098070761472,Git✅
2022-08-13 08:39:50,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6963469026882654208,"Yes , why ?"
2022-08-13 08:39:30,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6963433853348691968,Managing function calls
2022-08-07 17:41:14,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6961717064344498176,"array([[0, 2], [1, 3]])"
2022-08-07 17:40:31,https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-6961653918955114496,A. Command Line Interface
2022-07-06 14:55:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:6950455990081204224,Last in first out
2021-11-27 10:04:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6870257517834895360,Windows
2021-11-19 13:53:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6867340414207197184,19th Nov🤐
2021-11-16 13:16:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6866308845178814464,Yessir Why not
2021-11-09 18:09:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6863170768541421569,Top
2021-11-09 18:09:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:6863579339284381696,Three
2021-09-16 17:50:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6844209841242730496,I'll save this post
2021-09-06 14:51:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:6840319207175979008,91k-120k/month
2021-07-15 06:16:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:6821114689762734080,Hyper Text Markup Language
